序號,問題,答覆,提供單位,業務類別
1,詢問如何查詢「交通部處理人民陳情案件要點」。,請於交通部網站/常見問題與服務專區/為民服務/交通部處理人民陳情案件要點，即可看到本部處理人民陳情案件要點。,綜合規劃司,人民陳情
2,詢問交通部免付費陳情專線 0800-231-161 受理陳情案之時間。,交通部 0800-231-161 免付費陳情專線由公路局用路人話務中心受理，提供 24小時服務。,綜合規劃司,人民陳情
3,詢問交通部受理陳情案之方式。,民眾可以電話 0800-231-161、書面、傳真(02)2349-2491、電子郵件及到部等方式向交通部提出陳情。,綜合規劃司,人民陳情
4,詢問交通部人民陳情案之處理期限。,人民陳情案以文管制之時效，交通部處理人民陳情案件要點第六點規定各機關處理人民陳情案件應予登記、分類、統計及列入管制，除行政院院長電子民意信箱限辦日期為 5 天者外，其餘陳情案件限辦日期均為 7 天，每案處理期限不得超過 30 天。,綜合規劃司,人民陳情
5,如何以電子郵件方式向交通部陳情或提出建言。,請點選交通部網站首頁/部長(民意)信箱。(https://poms.motc.gov.tw/message/tw),綜合規劃司,人民陳情
6,如何查詢人民陳情案件處理進度。,請點選交通部網站首頁/部長(民意)信箱/陳情進度查詢(https://poms.motc.gov.tw/message/tw/flow)，亦可撥打 0800-231-161 詢問。,綜合規劃司,人民陳情
7,索取交通部年度施政計畫。,請於交通部網站首頁/新聞與公開資訊/資訊公開/主動公開政府資訊 (https://www.motc.gov.tw/ch/app/artwebsite/view?module=artwebsite&id=2631)點選「施政計畫」，即可看到本部年度施政計畫，連絡電話： (02)2349-2043。,綜合規劃司,施政計畫
8,反映於本部網站寄送陳情信，但未收到確認信。,若於本部網站寄送陳情信， 但一直未收到請求確認電子郵件， 可能是電子信箱填寫錯誤或是電子信箱主機出現異常狀況， 請至本部網站點選「重寄確認信」按鍵， 本部會再重寄一次請求確認電子郵件， 若重寄確認信仍一直未收到， 可能是被您的垃圾郵件攔截或阻檔，可檢視您的垃圾郵件或來電 0800-231-161 請服務人員直接幫您確認。,交通科技及資訊司,網頁管理
9,反映已收到請求確認電子郵件，但無法連結確認網址。,本部連結確認網址有效期限為 7 天，若連結網址已失效或連結確認網址有問題時，請來電 0800-231-161 由服務人員直接幫您確認。,交通科技及資訊司,網頁管理
10,反映陳情案件於 yahoo 信箱所收到的確認信為亂碼。,反映於 yahoo 信箱所收到的確認信為亂碼問題，應該是在 yahoo 信箱中收信時，信件內容設定編碼不同所造成。您可來電 0800-231-161 請服務人員直接幫您確認，或將信箱編碼設定為 UTF-8，應該就可看到確認通知信的內容。,交通科技及資訊司,網頁管理
